steuerperiode	kanton	null_norm	null_sond	cpop	cinc	G_steink	G_reink	G_taxed	ppop0	G_steink0	G_steink_halb	p1	p5	p10	p20	p25	p30	p40	p50	p60	p70	p75	p80	p90	p95	p96	p97	p98	p99	p9950	p9990	p9999	mean	sum_pflichtige
1977.5	"AG"			148060	4503795	.3243888		.3144854	.0000405	.3243888	.3243888	9.347476	10.4306	12.00517	15.68027	17.46031	19.17469	22.32906	25.362	28.62924	32.86602	35.63704	38.92353	50.40493	63.69822	68.86203	76.22401	88.94214	120.324	162.0001	312.5347	744.3001	30.41871	148060
1979.5	"AG"			150638	4949125	.3147391		.3043738	.0000465	.3147391	.3147391	10.26546	12.00727	13.87242	17.56127	19.3512	21.0552	24.17077	27.18721	30.96566	35.53399	38.29127	41.84466	53.71754	67.83956	73.16528	81.32249	94.58939	127.3478	171.795	320.5901	740.4893	32.85442	150638
1981.5	"AG"			159899	5618467	.3199971		.3090722	.000075	.3199971	.3199971	10.31447	12.22688	14.39413	18.46667	20.40884	22.29346	25.69712	29.13165	33.14607	38.18567	41.3694	45.24557	58.04593	73.18841	78.9284	86.99535	101.7176	136.9505	184.4387	329.5193	877.3975	35.1376	159899
1983.5	"AG"			169963	6270032	.3217603	.3006293	.3101596	.0000941	.3217603	.3217603	11.0688	12.84846	15.1525	19.37834	21.4114	23.37761	26.76842	30.57192	34.58524	39.7708	43.01607	47.08751	60.90239	77.22748	83.2879	92.34053	107.9135	144.9773	194.1942	359.7475	971.2766	36.89057	169963
1985.5	"AG"			178019	7012314	.3244583	.3039684	.3129222	.0001292	.3244583	.3244583	11.55758	13.60337	16.05091	20.47273	22.61638	24.6819	28.42201	32.45243	36.99079	42.61436	46.22139	50.62296	65.35959	82.60252	88.93459	98.47533	114.841	153.6371	204.9897	383.5405		39.39082	178019
1987.5	"AG"			191520	7844536	.3223808	.3105157	.3104821	.0057749	.3223808	.3223808	10.6172	13.57519	16.51907	21.33844	23.48679	25.72546	29.84558	33.83349	38.42296	44.20186	47.80273	52.30232	67.56071	87.19752	92.84315	103.1212	121.0696	160.4057				40.95935	191520
1989.5	"AG"			196596	9054627	.3211935	.313423	.3101596	.007991	.3211935	.3211935	11.151	15.84889	19.45871	24.56369	26.72945	28.97797	33.22555	37.75981	43.0362	49.57885	53.64893	58.66715	75.36908	95.36608	103.4055	114.8005	135.198	181.5778				46.05703	196596
1991.5	"AG"			204177	1.05e+07	.324573	.3168686	.3131815	.010153	.324573	.324573	11.7902	17.04328	21.13121	27.11163	29.86641	32.15479	36.96357	42.05315	47.99561	55.54316	60.11967	65.7608	84.38715	107.1775	115.8173	128.8994	150.5585					51.32837	204177
1993.5	"AG"			206185	1.18e+07	.3143302	.3064705	.3034621	.0114654	.3143302	.3143302	15.25661	19.64321	24.27422	30.97171	33.80399	36.55729	41.89077	47.5689	54.16537	62.31219	67.38814	73.6271	94.02492	117.8259	126.9562	139.7204	161.5738					57.12974	206185
1995.5	"AG"	31800	10272	211421	1.25e+07	.3101283	.301246	.298945	.0107556	.4003257	.3780808	15.56315	20.95789	25.7738	32.43557	35.5173	38.11966	43.53166	49.21923	55.86932	63.94909	69.05589	75.43987	96.34846	121.0091	130.4235	143.6497	166.681					59.03766	211421
1997.5	"AG"	36147	11263	211564	1.24e+07	.3046414	.2949319	.2944823	.009721	.406111	.3794108	16.19075	21.46246	26.19787	32.69358	35.67485	38.21915	43.5518	49.1875	55.77766	63.85947	68.89957	75.23228	95.7952	119.5615	128.7733	141.5679	163.0917					58.80398	211564
1999.5	"AG"	39215	12528	212198	1.22e+07	.3004013	.2907599	.2906202	.008667	.4095236	.3802778	16.18199	21.3677	26.01824	32.29253	35.2825	37.69622	42.92096	48.48529	55.01445	62.79646	67.71358	73.72198	93.59447	116.7587	125.6034	137.9375	158.1269					57.63561	212198
2001	"AG"	44174	3107	244098	1.55e+07	.3109134	.3007082	.3006022	.0126339	.4165071	.3901816	17.29982	22.46657	27.6887	35.17489	37.95832	40.94127	46.54924	52.57732	59.56491	68.24776	73.77573	80.70712	103.3011	130.5591	140.8603	155.7324	180.0215					63.34779	244098
