anz_pflichtige	steuerperiode	bemessungsjahre	kanton	null_norm	null_sond	cpop	cinc	G_steink	p1	p5	p10	p20	p25	p30	p40	p50	p60	p70	p75	p80	p90	p95	p99	mean
2	1971.5	1969.5	"BL"			8987	216222.3	.3419127		10.29148	11.23586	12.8427	13.73684	14.6354	16.41087	18.39007	20.60459	23.64669	25.66345	28.17301	37.73061	50.92884	115.8254	24.05945
3	1959.5	1957.5	"BS"			3706	49287	.5527872					6.155235	6.398109	6.975953	7.628547	8.532716	9.812636	10.78127	12.09939	17.30004	30.65742	122.2163	13.29924
3	1961.5	1959.5	"BS"			8255	102046	.4832095				6.176315	6.449931	6.75585	7.32793	7.957374	8.773685	9.984453	10.99505	12.3521	17.52168	26.93987	91.67143	12.36172
1	1963.5	1961.5	"BS"			16671	174644	.4459334					6.462606	7.151152	7.908056	8.620636	9.452063	10.51694	11.23878	12.22122	16.13691	21.90143	61.04487	10.47592
1	1965.5	1963.5	"BS"			17284	252964	.3807562				8.253122	8.669985	9.099252	9.899218	10.74193	11.78837	13.22919	14.21691	15.51514	20.67318	30.49175	92.28886	14.63573
2	1967.5	1965.5	"BS"			22324	344637.4	.364495			7.118762	8.565725	9.130658	9.573829	10.56438	11.58525	12.732	14.30327	15.3342	16.69244	22.30658	30.82377	82.64204	15.43798
5	1969.5	1967.5	"BS"			24236	423854	.3916862			7.813876	9.150737	9.76375	10.45629	11.73601	13.05696	14.42643	16.30662	17.60991	19.35193	25.94758	35.51064	98.20309	17.48861
13	1971.5	1969.5	"BS"			22138	485451.4	.3832685		7.586481	10.25337	11.73963	12.48922	13.23845	14.59708	16.19502	18.0317	20.4106	22.09917	24.19912	32.29794	43.99966	111.6364	21.92842
10	1959.5	1957.5	"CH"			86841	993834	.5306364					6.115718	6.488702	7.319496	8.250066	9.395215	10.91446	12.00101	13.39904	19.41546	29.5255	80.31646	11.44429
20	1961.5	1959.5	"CH"			156538	1595024	.4344383				6.214498	6.442595	6.695701	7.19869	7.708514	8.345605	9.213566	9.831089	10.72603	15.18336	22.77383	62.85145	10.18937
24	1963.5	1961.5	"CH"			183459	2146883	.467209				6.458339	7.126677	7.420814	8.091187	8.761893	9.598951	10.74434	11.58131	12.7553	18.25995	27.60819	76.6001	11.70225
46	1965.5	1963.5	"CH"			185817	2569095	.4825957				7.374888	8.191308	8.564601	9.35373	10.20945	11.2247	12.60902	13.57713	14.91308	21.04346	32.01362	91.42027	13.82594
49	1967.5	1965.5	"CH"			200759	3332186	.4617842				8.384469	8.884906	9.410664	10.43398	11.56412	13.00101	14.72109	16.07839	17.82473	25.76585	39.5086	107.3358	16.59794
80	1969.5	1967.5	"CH"			256437	4618476	.4701535				8.587693	9.329197	10.06852	11.37802	12.79422	14.49195	16.6634	18.22733	20.22192	28.65492	42.42168	111.5805	18.01018
110	1971.5	1969.5	"CH"			283283	6365520	.4533083				11.0834	11.84303	12.67044	14.3336	16.12497	18.21281	20.8967	22.78605	25.36313	35.65006	52.11437	137.3456	22.47053
0	1959.5	1957.5	"FR"			1192	10777	.5453705							6.556271	7.425604	8.441157	9.832473	10.74746	11.82371	16.98445	28.64876	54.15162	9.041107
0	1961.5	1959.5	"FR"			875	7075	.531238							6.357193	7.072867	7.975365	9.142962	10.00462	10.94901	15.86389	21.86493	48.53938	8.085714
0	1963.5	1961.5	"FR"			1546	16077	.5141666						6.739042	7.435393	8.072577	8.907007	10.15858	11.16441	13.01853	19.52558	28.21481	58.75316	10.39909
0	1965.5	1963.5	"FR"			1630	16224	.552709							8.065122	8.887628	9.897171	11.35851	12.21582	13.58242	20.0787	30.27512	57.32016	9.953374
0	1967.5	1965.5	"FR"			2594	29213	.5057466						7.254619	8.617623	9.610893	10.78911	12.50881	13.59047	15.07185	22.05888	31.99619	68.26496	11.26176
0	1969.5	1967.5	"FR"			1850	23502.3	.5457161							8.779557	10.24422	11.8451	13.85044	15.1758	17.27648	25.89314	38.02494	75.74014	12.70395
0	1971.5	1969.5	"FR"			4441	83610	.3672417			9.488657	11.08577	11.57838	12.21793	13.46776	14.75239	16.34401	18.46006	19.87877	22.20897	30.42192	42.32774	83.66233	18.82684
1	1959.5	1957.5	"GE"			7901	120927	.6528443							7.068244	8.313191	10.11963	13.00284	14.99212	17.72628	29.04697	48.66781	127.0827	15.30528
8	1961.5	1959.5	"GE"			10546	192793	.5444981			6.165705	7.050101	7.358464	7.703042	8.434598	9.318053	10.63253	13.39218	15.7198	18.55429	31.20802	54.97733	116.9656	18.28115
7	1963.5	1961.5	"GE"			14168	266498	.5521138				7.477923	7.982482	8.344643	9.18733	10.23277	11.67173	14.14016	16.50478	19.86129	35.34367	61.47589	134.9277	18.80985
19	1965.5	1963.5	"GE"			9379	269383	.66186				8.071631	8.64844	9.247458	10.44206	11.90099	14.24978	18.7746	23.02773	27.4236	52.89393	86.64066	244.6817	28.72193
17	1967.5	1965.5	"GE"			11966	418060.3	.6041334			7.451883	9.622349	10.44912	11.30235	13.1851	15.56676	19.39556	25.9618	31.3871	38.39064	68.62198	102.1278	282.4791	34.93735
31	1969.5	1967.5	"GE"			12550	524352	.6022524		8.026653	9.638988	11.86085	12.80339	13.76148	16.02592	18.68262	23.09299	30.2649	34.85263	41.8577	73.12045	112.5384	300.9264	41.78104
41	1971.5	1969.5	"GE"			14550	635598.3	.5726349		10.37628	11.51917	13.47155	14.4156	15.4354	17.6458	20.57038	24.7286	31.57744	36.32612	43.17512	74.06201	119.8398	345.7309	43.68373
0	1959.5	1957.5	"GL"			246	3045	.3980456			6.018595	6.886242	7.256284	7.623823	8.300706	8.968857	10.2774	12.13938	13.04983	14.94637	21.12362	33.10982		12.37805
0	1961.5	1959.5	"GL"			259	2192	.5858668							6.36803	7.172738	8.014542	9.140166	9.780777	11.0221	16.02239			8.463321
0	1963.5	1961.5	"GL"			585	6372	.5139075					6.324039	6.987641	7.64127	8.332364	9.121011	10.29708	10.96739	12.22335	17.23511	24.13643	75.67517	10.89231
0	1965.5	1963.5	"GL"			953	9196	.3739437				7.029256	7.607584	8.09832	8.662952	9.203688	9.700312	10.40508	10.89141	11.55981	14.1909	21.0454	48.96313	9.649528
0	1967.5	1965.5	"GL"			1245	13665.7	.4131927				7.258593	8.019512	8.224123	8.700344	9.364377	10.16744	11.18379	11.77655	12.59418	16.02957	23.84103	68.69719	10.97647
0	1969.5	1967.5	"GL"			1201	16347.5	.4060735				8.183488	8.523214	9.001355	9.606459	10.6176	11.77017	13.28547	14.32779	15.69423	22.35229	33.38061	82.65052	13.61157
