anz_pflichtige	steuerperiode	bemessungsjahre	kanton	null_norm	null_sond	cpop	cinc	G_steink	p1	p5	p10	p20	p25	p30	p40	p50	p60	p70	p75	p80	p90	p95	p99	mean
1	1965.5	1963.5	"UR"			276	12878	.855418					8.127679	8.605078	9.588984	10.42783	11.3569	12.76401	13.74582	14.88708	22.19069	28.54021		46.65942
0	1967.5	1965.5	"UR"			482	5361.2	.4531082						8.147697	9.252174	10.41115	12.07198	13.64666	14.37174	15.33805	21.35101	28.24948		11.12282
0	1969.5	1967.5	"UR"			525	6529.6	.562185							8.9	10.39901	12.35336	14.37285	15.60396	17.04213	20.51315	25.37923		12.43733
0	1971.5	1969.5	"UR"			587	8543.1	.4010087					10.19513	10.77445	12.13413	13.66791	15.56696	17.841	19.31025	20.7064	26.7428	32.64968	53.17582	14.55383
2	1959.5	1957.5	"VD"			6200	73703	.5638593						6.2222	7.218839	8.386517	9.913542	11.73384	12.87908	14.8091	21.10776	30.43455	74.1953	11.88758
2	1961.5	1959.5	"VD"			9371	115642	.5198901				6.070745	6.356782	6.677481	7.339366	8.096053	9.147889	10.83017	12.20644	14.16903	22.15252	33.40229	81.07161	12.34041
4	1963.5	1961.5	"VD"			12078	190094	.5621989					7.074513	7.460273	8.348213	9.466833	11.14014	13.81362	15.96057	18.8067	30.98764	47.26662	99.35702	15.73886
6	1965.5	1963.5	"VD"			9526	152179	.5828449					7.110573	8.137197	9.018616	10.07197	11.38144	13.48855	15.05505	17.1118	27.60019	46.39445	111.3253	15.97512
6	1967.5	1965.5	"VD"			14502	296350.4	.5211451				8.487832	9.068296	9.515456	10.60534	12.00608	13.6755	16.59179	18.8048	22.14513	35.88359	56.95659	142.6402	20.43514
5	1969.5	1967.5	"VD"			18565	385314.8	.50333				8.714347	9.377315	10.04437	11.30433	12.81635	14.72744	17.69602	20.00695	23.30558	37.88012	58.9418	136.979	20.75491
12	1971.5	1969.5	"VD"			20970	532726.3	.5109451				10.71191	11.55369	12.36875	13.89779	15.70429	18.05565	21.51231	24.24054	28.09213	45.61716	71.96836	173.1115	25.40421
0	1959.5	1957.5	"VS"			226	3030	.5807238							6.76295	7.93654	9.476555	12.33803	13.39482	15.58424	23.8863	32.67702	113.5832	13.40708
0	1961.5	1959.5	"VS"			750	6807	.4535327						6.210205	6.903568	7.607539	8.519682	9.771761	10.62784	12.02781	16	21.92086	58.58371	9.076
2	1963.5	1961.5	"VS"			1752	22961	.5611165						6.958649	7.985508	9.027347	10.15109	11.68171	12.56946	13.791	19.11749	24.72507	53.59826	13.10559
1	1965.5	1963.5	"VS"			2251	25617	.5495149							8.078818	9.291088	10.70651	12.38751	13.43498	14.91682	20.10343	26.71204	68.6469	11.38028
2	1967.5	1965.5	"VS"			3324	38542.9	.5098867							8.351071	9.671986	11.06487	12.77048	13.8162	15.29975	20.4213	26.72727	57.91902	11.59534
1	1969.5	1967.5	"VS"			6080	70215	.4738891							8.547496	10.23131	11.86371	13.77115	14.88873	16.47522	21.62586	28.59413	58.25231	11.54852
1	1971.5	1969.5	"VS"			3062	32226.3	.615748										9.138603	11.73217	14.02574	22.88891	33.12355	95.23051	10.52459
0	1959.5	1957.5	"ZG"			1280	14863	.4541213				6.345104	6.58633	6.854356	7.368729	7.978169	8.843976	10.20359	11.27543	12.4946	18.70312	30.00001	65.44851	11.61172
0	1961.5	1959.5	"ZG"			2712	27452	.3661623			6.064385	6.37008	6.54407	6.735327	7.149134	7.607585	8.182288	8.914665	9.456216	10.22596	14.28649	23.61754	53.47664	10.12242
0	1963.5	1961.5	"ZG"			3084	35596	.3762724			6.027753	7.157111	7.398681	7.665948	8.224793	8.829427	9.571484	10.57179	11.25122	12.22535	17.50296	28.18016	61.83353	11.54215
0	1965.5	1963.5	"ZG"			2771	37503	.4127389				8.133566	8.475967	8.857956	9.570536	10.41891	11.48716	12.95848	13.94505	15.49147	22.75292	35.06238	78.73798	13.5341
0	1967.5	1965.5	"ZG"			3446	53563	.4479313				8.250358	8.668339	9.182379	10.13564	11.2336	12.43551	14.13722	15.39059	17.14729	23.80873	39.83292	105.9837	15.54353
0	1969.5	1967.5	"ZG"			4246	73015.3	.4148686			7.190141	8.868478	9.45186	10.08085	11.30626	12.617	14.2767	16.33342	17.66243	19.71571	28.83929	44.84782	98.02914	17.19625
1	1971.5	1969.5	"ZG"			4102	93774.7	.4092601			9.528287	11.80928	12.70156	13.58744	15.23956	16.9	19.29943	22.28822	24.44066	27.07043	37.74564	53.59927	128.3716	22.86073
3	1959.5	1957.5	"ZH"			23517	301335	.4909223				6.376184	6.874429	7.292883	8.161536	9.087248	10.18305	11.70071	12.74074	14.18021	20.59812	32.14499	91.18541	12.8135
4	1961.5	1959.5	"ZH"			53826	516943	.3654909				6.384309	6.614243	6.869212	7.287163	7.747167	8.302751	9.027619	9.501765	10.13148	13.14617	18.69022	51.64896	9.603965
8	1963.5	1961.5	"ZH"			54275	639902	.4316518				7.11488	7.405118	7.728494	8.350872	9.036023	9.822222	10.87536	11.63117	12.64814	17.1203	24.95149	72.64861	11.79
11	1965.5	1963.5	"ZH"			53554	743162	.4593872				8.068073	8.43237	8.84002	9.617723	10.48386	11.52757	12.91465	13.87455	15.15076	20.98622	31.69961	87.4138	13.87687
11	1967.5	1965.5	"ZH"			30574	565464.9	.4915432				8.590366	9.328686	10.04962	11.3125	12.66659	14.35514	16.68375	18.38145	20.58824	30.36779	46.87258	119.547	18.49496
26	1969.5	1967.5	"ZH"			50636	1020519	.4941783				9.01193	9.891723	10.80124	12.53298	14.28062	16.31054	19.02533	20.64963	23.05756	32.28803	47.61204	126.18	20.15402
18	1971.5	1969.5	"ZH"			63247	1551214	.4646131				11.53817	12.62624	13.64622	15.69782	17.86452	20.32993	23.44705	25.62842	28.46364	40.29082	58.87506	156.392	24.52628
