Einheit,stpf,snpstbetr,mean_stbetr,median_stbetr,gini_stbetr,mean_steink,median_steink,gini_steink,mean_steinka,median_steinka,gini_steinka,mean_reink,median_reink,gini_reink,mean_reinka,median_reinka,gini_reinka,p1,p5,p10,p20,p25,p30,p40,p50,p60,p70,p75,p80,p90,p95,p96,p97,p98,p99,p99_5,p99_9,p99_99,stpfo,stpf_100,stpf_200,stpf_300,stpf_400,stpf_500,stpf_600,stpf_700,stpf_800,stpf_900,stpf_1000,stpf_1100,stpf_1200,stpf_1300,stpf_1400,stpf_1500,stpf_1600,stpf_1700,stpf_1800,stpf_1900,stpf_2000,stpf_3000,stpf_4000,stpf_5000,stpf_6000,stpf_7000,stpf_8000,stpf_9000,stpf_10000,stpf_u10000
Verheiratet,1297049,"6050,905",4665,937,"0,808",107937,78800,"0,401",67533,47533,"0,405",123812,96900,"0,37",76829,57333,"0,366",5400,33200,40600,53500,58300,62800,70500,78800,88800,102000,110900,122700,167200,233000,260000,300000,367000,521200,742200,1909600,9724900,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unverheiratet,2128302,"2922,49",1373,335,"0,787",56291,45800,"0,344",38236,30667,"0,35",58596,47800,"0,335",39725,32067,"0,339",8700,19700,22800,28700,31800,34800,40300,45800,51800,59100,63600,69300,88900,113500,122900,137300,161800,219700,305200,734100,3116600,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,3425351,"8973,395",2620,492,"0,824",75847,56300,"0,408",49329,36200,"0,403",83291,61000,"0,407",53775,40533,"0,395",6900,20400,25200,34100,37800,41300,48500,56300,65100,75700,82600,91400,123100,166300,184300,210700,256700,362200,516000,1250000,5845400,0,49080,103453,358928,446139,475679,426019,364166,283556,206938,151294,112663,82514,63111,47767,37324,29808,23543,19042,15798,13356,64914,21886,10045,5480,3285,2072,1458,1008,5025
