steuerperiode	kanton	null_norm	null_sond	cpop	cinc	G_reink	ppop0	G_reink0	p1	p5	p10	p20	p25	p30	p40	p50	p60	p70	p75	p80	p90	p95	p96	p97	p98	p99	p9950	p9990	p9999	mean	sum_pflichtige
2007	"BS"	27560	3564	83001	6403572	.3700345	.0226029	.5270687	20.21226	23.82211	28.25514	37.39556	41.22817	44.61477	51.61142	59.19317	67.71525	78.37048	85.37017	94.11156	124.4387	163.5597	178.6528							77.15054	83001
2008	"BS"	27072	3830	83952	6627190	.3812558	.0240939	.5321299	20.15198	23.48907	27.87819	37.31385	41.24728	44.69019	51.77151	59.61949	68.39463	79.24918	86.37112	95.4565	126.5803	166.7529	182.4187							78.94023	83952
2009	"BS"	23712	3543	84458	6692400	.3774211	.0254877	.5138969	20.19142	23.53602	27.99445	37.51042	41.53968	45.21219	52.32561	60.40181	69.17514	80.48677	87.70612	97.08636	129.1154	169.6252	184.8488							79.23938	84458
2010	"BS"	23968	3283	84923	6787336	.3802054	.0258791	.5166284	20.19207	23.60929	28.04792	37.63265	41.6193	45.27258	52.40742	60.49375	69.42406	81.00511	88.24208	97.80125	130.2174	170.9309	186.1345							79.92342	84923
1987.5	"CH"			2604186	1.24e+08	.3430089	.0094855	.3430089	10.92394	15.2826	18.11193	23.43405	25.98165	28.31385	33.22332	38.50098	44.46049	51.58863	55.9283	61.11148	78.09302	99.69775	108.7431	121.7198	144.0956	195.2963				47.56921	2604186
1989.5	"CH"			2594064	1.34e+08	.3435508	.0118548	.3435508	11.60598	16.43318	20.13043	25.8002	28.26299	30.90822	36.02274	41.54478	47.86795	55.6292	60.31157	65.86774	84.43999	108.8688	118.4766	133.415	158.4783					51.56961	2594064
1991.5	"CH"			2718107	1.54e+08	.3457449	.0143298	.3457449	13.39606	17.64305	21.57785	28.11576	31.06321	33.77486	39.35818	45.49659	52.40971	60.98322	66.11557	72.24073	92.59159	118.8617	129.8212	145.4456	173.001					56.52878	2718107
1993.5	"CH"			2762419	1.72e+08	.3365355	.0163657	.3365355	15.79964	19.75644	24.42941	31.65886	35.06039	37.9442	44.13301	50.86361	58.54052	67.95406	73.63737	80.50024	102.6164	130.2296	140.9959	157.0647	184.5668					62.29515	2762419
1995.5	"CH"	569555	118538	2803710	1.78e+08	.3315308	.0138009	.4443977	15.98487	20.72494	25.24639	32.60326	35.99398	39.09788	45.46806	52.13375	59.8968	69.25021	75.04856	81.8476	104.1095	131.6129	142.172	158.2031	185.7187					63.44551	2803710
1997.5	"CH"	676953	139452	2706420	1.73e+08	.3262812	.0129915	.4610804	16.41468	21.48582	25.8604	33.28816	36.60072	39.82026	46.1453	52.91726	60.81418	70.26217	75.96094	82.80397	105.0389	132.3579	142.7859	158.4449	184.7435					64.1067	2706420
2003	"CH"	768156	96459	3286615	2.35e+08	.3403338	.0183636	.4653043	17.89088	22.93006	27.91146	36.45464	40.11767	43.29356	50.26199	57.58125	66.20551	76.73835	83.20158	91.14269	116.9118	148.9349	161.8439	180.0986						71.40188	3286615
2004	"CH"	795498	74153	3290173	2.37e+08	.3415925	.0190537	.4697873	18.02827	23.06571	28.03683	36.59266	40.26536	43.47577	50.43781	57.82755	66.56097	77.27129	83.84819	91.91035	118.1667	151.0199	164.1922	182.8838						71.93718	3290173
2005	"CH"	829351	74085	3315027	2.40e+08	.3470865	.0196522	.4777441	17.8685	22.93382	27.88695	36.46391	40.16537	43.35536	50.33832	57.69623	66.45017	77.19978	83.83904	91.9733	118.6896	152.3589	165.9234	185.2083						72.40535	3315027
2006	"CH"	890902	77384	3290696	2.44e+08	.3484046	.0207684	.4872289	19.19859	23.73401	28.6349	37.20118	40.89058	44.23952	51.17926	58.74199	67.59847	78.55257	85.40009	93.61623	121.3456	156.3402	170.3515	190.284						74.0646	3290696
2007	"CH"	863054	90228	3347118	2.55e+08	.3523379	.0231333	.4851038	20.0115	24.19195	29.21725	37.97919	41.67667	45.27137	52.21779	60.15321	69.18476	80.60252	87.56235	96.19974	124.9892	161.9554	176.6353	197.5415						76.21769	3347118
2008	"CH"	885418	92615	3387360	2.64e+08	.353616	.0247102	.4875617	20.03169	24.31345	29.49038	38.6782	42.39776	46.03722	53.21347	61.30076	70.74046	82.34464	89.56212	98.3988	128.1228	166.4679	181.4928							77.81738	3387360
2009	"CH"	897135	95625	3422210	2.66e+08	.3495971	.0241963	.4846868	20.03008	24.44107	29.61257	38.92727	42.65072	46.29674	53.54542	61.71939	71.275	83.02954	90.41746	99.30085	129.0542	166.439	180.8274							77.81892	3422210
2010	"CH"	906509	101435	3468101	2.72e+08	.3518831	.0252388	.4861862	20.01283	24.37091	29.56839	38.98951	42.7232	46.38681	53.71969	61.9715	71.67083	83.65027	91.15915	100.2966	130.5803	168.8367	183.5363							78.42091	3468101
1987.5	"FR"			71451	3025739	.322712	.0056962	.322712	10.67861	13.98073	16.82222	21.69432	23.95997	26.17639	30.61916	35.21444	40.42221	46.75826	50.68101	55.31498	70.1153	89.99651	93.47055	102.8917	118.1841	157.9941				42.34705	71451
1989.5	"FR"			71355	3329063	.325342	.0080163	.325342	11.31353	15.94146	18.98814	24.33912	26.63031	28.93303	33.38222	38.23542	43.8786	50.83253	55.0905	60.12373	75.82182	95.03623	102.448	113.6004	132.9857	180.3464				46.65494	71355
1991.5	"FR"			76214	3909802	.3274756	.0094077	.3274756	12.82186	17.15421	20.77034	26.72477	29.40385	31.78561	36.69744	41.99656	48.20083	55.90268	60.50207	65.87382	82.57962	103.4362	111.3881	122.9681	142.9392	194.3793				51.30032	76214
1993.5	"FR"			79427	4478408	.3120837	.0093671	.3120837	15.6857	18.93277	23.14922	30.34061	33.06138	35.99086	41.54116	47.4458	54.59382	63.09077	68.21149	74.23019	92.67593	113.4849	121.1889	132.3529	149.8555	195.0063				56.38395	79427
1995.5	"FR"	16525	2817	84400	4827582	.3095382	.0075799	.4225913	15.76832	19.53766	23.25825	30.57033	33.52285	36.51004	42.25985	48.51844	55.8758	64.61755	69.84625	75.93812	94.4389	115.2618	123.0015	133.675	150.5082	192.9778				57.19884	84400
1997.5	"FR"	18425	3445	84846	4997134	.3123529	.0073786	.4350388	16.12585	20.68704	24.07524	31.27824	34.46007	37.31835	43.2337	49.59946	57.00505	65.94334	71.14398	77.32207	96.17681	116.5891	124.3335	135.2112	152.6371	192.7908				58.89651	84846
1999.5	"FR"	18988	3130	86972	5186664	.3119007	.007031	.4352079	16.19773	20.86955	24.50117	31.65374	35.08144	37.80597	43.80297	50.40211	57.89365	66.85139	72.07886	78.26973	97.35274	117.5174	125.0736	135.5357	152.1739	190.1892				59.63602	86972
2001	"FR"	20945	1151	101004	6599032	.3112587	.0102994	.4295515	17.88472	22.36887	26.68083	35.13721	38.27623	41.56857	48.12728	55.4286	63.62209	73.29479	79.01178	85.61624	106.6362	131.1015	139.9931	152.5612	172.7751					65.33436	101004
2002	"FR"	21125	1243	102012	6760316	.3110169	.0112395	.4292167	17.83512	22.42094	26.9103	35.56684	38.84509	42.10426	48.74798	56.24363	64.78594	74.74233	80.60747	87.39587	109.0634	133.9972	143.0334	156.0769	177.1138					66.26981	102012
2003	"FR"	21885	1239	104289	6987447	.3122512	.0115	.4315419	17.90679	22.68921	27.2338	35.80706	39.25011	42.47901	49.09671	56.66344	65.42752	75.63733	81.5239	88.64297	110.4354	135.206	144.1347	157.2377	178.4733					67.00081	104289
2004	"FR"	21877	1274	106299	7207727	.3141404	.0119133	.4312025	17.92156	22.73764	27.40833	35.98162	39.49578	42.72477	49.52305	57.21167	66.19763	76.59586	82.65931	90.02303	112.235	137.6033	146.7251	159.9924	180.8634					67.80615	106299
2005	"FR"	22289	1220	108096	7424856	.3175726	.0126318	.4342319	17.9781	22.86762	27.59426	36.26882	40.05472	43.14347	50.03816	57.50605	66.52316	77.06747	83.27196	90.81093	113.4962	139.7354	149.3217	162.956	184.1534					68.68761	108096
2006	"FR"	25034	1367	108508	7637962	.3166139	.0139357	.4447226	20.09474	23.92515	28.54836	37.19867	40.9031	44.19023	51.12585	58.87982	67.98916	78.76651	85.2345	92.81063	116.5186	143.6443	153.7757	168.1085	190.6063					70.39077	108508
2007	"FR"	30603	1255	110718	7931792	.3212071	.0147112	.4681994	19.62235	23.73863	28.53637	37.54127	41.29089	44.73226	51.67019	59.51942	68.85537	80.06381	86.66756	94.53152	118.8657	147.1894	157.8616	172.6964	196.0019					71.63959	110718
2008	"FR"	31229	1478	112810	8155684	.317907	.0149682	.4657912	19.81337	23.8249	28.71804	38.01136	41.79387	45.42486	52.48449	60.6064	70.09399	81.40981	88.20621	96.35772	121.0654	149.3542	159.8879	174.4202	197.1726					72.29575	112810
2009	"FR"	32119	1554	115260	8449054	.3200986	.0157621	.4682727	19.89805	24.04271	28.9093	38.34571	42.16492	45.81125	52.97185	61.25785	70.96892	82.57347	89.44761	97.66023	123.0832	152.0664	162.6314	177.3424						73.30431	115260
2010	"FR"	32822	1808	117457	8672336	.3220709	.0164095	.4701354	19.61244	23.94186	28.86566	38.45198	42.29936	45.97374	53.16992	61.51373	71.24652	83.1394	90.37453	98.60547	124.4527	153.9793	164.6686	179.5518						73.83414	117457
1987.5	"GE"			136131	7689773	.3733499	.0164327	.3733499	11.706	16.36662	19.64101	25.94611	28.90427	31.82162	37.63935	43.81391	50.93684	59.73696	65.3108	72.0468	95.79312	127.3426	139.2959	156.5479	184.5703					56.48804	136131
1989.5	"GE"			136763	8253880	.3726811	.0187697	.3726811	11.77137	16.7866	20.82762	28.00477	31.33948	34.50456	40.62252	46.91236	54.3127	63.66762	69.71296	76.92194	101.9071	135.4479	148.1212	166.0904	194.9479					60.3517	136763
1991.5	"GE"			140102	8984075	.3670022	.0215414	.3670022	12.87274	17.5844	22.03726	30.32798	33.74857	37.12955	43.70932	50.57856	58.37975	68.3047	74.49258	82.30967	109.1593	143.5357	156.7465	175.5055						64.12524	140102
1993.5	"GE"			140545	9602630	.3560294	.02348	.3560294	15.62557	18.84996	23.78001	32.6122	36.64981	40.55494	47.62594	55.30376	63.72953	74.11064	80.71792	95.50291	116.4612	151.7177	164.5871	182.8025						68.32423	140545
1995.5	"GE"	25455	4623	146272	9709435	.3586762	.0181043	.4537393	15.21767	19.18692	23.57463	31.87436	35.67154	39.23545	46.12117	53.20112	61.17931	70.84901	76.88277	84.55878	110.801	144.1094	156.9711	175.2225						66.37931	146272
1997.5	"GE"	66338	4481	145444	9963298	.3433083	.0147841	.5490085	16.22873	21.11671	25.39068	33.89788	37.6227	41.30236	48.41644	55.8807	64.21358	74.49203	81.09267	89.13668	115.883	148.1942	160.4825	177.7124						68.50264	145444
1999.5	"GE"	67117	5488	131445	9703747	.3552118	.015859	.5731601	17.00939	22.41841	27.44677	36.36657	40.32322	43.83748	51.18698	58.7297	67.2461	77.74936	84.54472	92.74365	120.573	153.9532	166.6433	184.5593						73.82363	131445
2001	"GE"	30712	24325	167092	1.42e+07	.4170133	.0326586	.5075307	17.22195	21.64238	26.34161	36.31068	40.67953	44.72425	52.81341	61.33817	70.9473	83.11156	91.10033	100.8332	134.9266	179.6974	197.1009							84.8828	167092
2002	"GE"	236	52938	167912	1.35e+07	.3832557	.0379071	.3841213	17.31665	21.83389	26.57591	36.60852	41.03112	45.22624	53.2928	61.849	71.59235	84.00337	92.04888	101.8791	135.8261	179.1468	195.7802							80.68165	167912
2003	"GE"	2155	47597	171611	1.44e+07	.4022362	.0386785	.4096495	17.3482	22.05799	26.9176	36.73922	41.18879	45.48074	53.65738	62.21527	72.02378	84.58154	92.72925	102.7678	137.3191	181.3788	198.2267							83.96592	171611
2004	"GE"	34273	16050	172671	1.44e+07	.3932082	.035483	.493702	17.41931	22.21443	27.05418	36.81646	41.30009	45.62933	53.80627	62.49791	72.37698	85.45316	93.76487	104.2097	140.1676	186.9143								83.17329	172671
2005	"GE"	34231	13318	171422	1.42e+07	.3891267	.0350493	.4908067	17.45566	22.23445	27.02346	36.70144	41.19785	45.58114	53.95863	62.71817	72.69787	85.74871	93.90813	104.3889	140.6688	186.4333								82.68056	171422
2006	"GE"	38313	12992	169276	1.42e+07	.3883996	.0369287	.5012777	17.86896	22.71965	27.44439	37.20362	41.81234	46.25558	54.63778	63.49953	73.6601	86.90759	95.61169	106.2295	143.9653	191.9126								83.91122	169276
2007	"GE"	38914	13491	170757	1.48e+07	.3965581	.0412503	.5085542	18.08712	22.93735	27.69587	37.567	42.27041	46.77263	55.6256	64.71815	75.16569	88.91385	97.92926	109.1739	148.8383									86.67245	170757
2008	"GE"	40527	14067	170558	1.50e+07	.3970377	.0429069	.5128027	17.97462	22.7734	27.57892	37.88868	42.66935	47.2407	56.29565	65.66972	76.17886	90.28266	99.39672	111.0187	152.0966									87.69787	170558
2009	"GE"	40617	15460	159519	1.30e+07	.3717933	.0328826	.499286	17.08842	22.44008	27.07142	36.95434	41.77346	46.25234	55.256	64.32974	74.48232	87.2025	95.56664	106.1659	142.1733	185.7566								81.5503	159519
2010	"GE"	42015	15356	170957	1.46e+07	.3806232	.0392023	.5028135	17.16805	22.60751	27.44359	37.80002	42.68406	47.35	56.49477	66.09149	76.70794	90.38197	99.16878	110.5926	150.3767	198.0397								85.14966	170957
1987.5	"GL"			15056	639987.6	.3140281	.0059777	.3140281	10.80449	14.84236	17.18551	21.98092	24.32999	26.47158	30.93459	35.72217	41.29025	48.19327	52.05182	56.31312	69.00079	83.89314	90.03677	98.49406	115.7003	149.6963				42.50715	15056
1989.5	"GL"			14994	697405.7	.3100901	.0069361	.3100901	11.745	16.38621	19.64124	25.00197	26.98339	29.27552	33.96754	39.11417	45.23084	52.32335	56.26839	60.80462	75.07034	91.71329	98.58452	108.4573	125.1079	169.8039				46.51232	14994
1991.5	"GL"			15749	801158.6	.3111838	.0092069	.3111838	13.74921	17.61953	21.26288	27.05	29.73059	32.11953	37.23409	42.80972	49.22449	57.12304	61.56647	66.33978	81.39936	100.1544	108.1211	119.3343	143.0873	192.967				50.87045	15749
1993.5	"GL"			15912	898228.3	.3056171	.0104324	.3056171	15.89728	20.19222	24.16397	30.80952	33.52742	36.29353	41.75808	47.80888	54.78172	63.21261	67.98778	73.22453	90.53107	111.0349	118.7792	130.9554	150.5651					56.44974	15912
1995.5	"GL"	2646	578	15394	900842.3	.3017284	.0091463	.4041468	16.26237	21.2511	25.58624	32.11242	35.44645	38.22633	43.774	49.8121	56.57672	65.28829	70.00905	75.47903	92.97729	114.5104	123.2009	136.7844	158.7584					58.51905	15394
1997.5	"GL"	2884	460	14903	873069.3	.2966479	.0089391	.41069	16.54831	21.69612	25.90536	32.47735	35.62354	38.4027	44.1535	50.19408	56.93948	65.48219	70.24723	75.98535	92.5448	112.6929	120.5532	133.332	154.439					58.58346	14903
1999.5	"GL"	3134	438	15072	858586.8	.2946362	.0077447	.4160583	16.24274	21.05946	25.1506	31.53314	34.59861	37.37049	43.12371	49.12214	55.853	64.13046	68.98127	74.56239	90.27274	110.2766	117.7559	129.4089	148.148	194.6871				56.96569	15072
2001	"GL"	4193	109	17023	1061737	.3072717	.0106523	.4441783	17.69313	22.20332	26.35291	33.62385	36.95208	40.30303	46.34602	52.94533	60.75571	69.83833	75.1459	81.01257	99.10151	121.0559	130.3266	143.334	168.1252					62.37075	17023
2002	"GL"	4145	125	17226	1079347	.3024715	.00992	.4377603	17.6386	22.40455	26.80557	34.35006	37.5969	40.87498	46.88205	53.26941	61.16439	70.34174	75.96584	82.00463	100.0399	122.2539	130.9421	143.0603	165.5351					62.65799	17226
2003	"GL"	3613	122	17291	1082102	.3025642	.0093284	.4231074	17.61825	22.42455	26.75922	34.08781	37.40607	40.713	46.62544	53.17552	60.97641	70.57776	76.21797	82.5563	101.5361	124.4041	132.446	143.5857	163.7602					62.58183	17291
2004	"GL"	3616	148	17320	1079383	.3051222	.0095529	.4251393	17.5137	22.13338	26.45698	33.78959	37.10395	40.44635	46.38734	52.67461	60.31606	70.18796	75.8308	82.10974	101.6111	124.4102	133.2348	145.5415	166.3526					62.32003	17320
2005	"GL"	3785	156	17237	1073276	.3029389	.0099895	.4284444	17.61289	22.33065	26.67667	34.15125	37.31202	40.51328	46.37746	52.78855	60.49635	69.82998	75.46464	81.71706	100.9001	123.9212	132.5316	144.5211	166.544					62.26582	17237
2006	"GL"	3893	210	16972	1077801	.3018874	.0104481	.4321415	19.23252	23.32548	27.45246	35.04961	37.99369	41.17912	47.27602	53.68413	61.46677	71.04329	76.73877	83.42901	103.0289	126.1342	134.9227	147.1625	170.0815					63.50462	16972
2007	"GL"	3769	227	17245	1118318	.3092253	.0118017	.4331203	19.27192	23.25135	27.55152	35.21183	38.2533	41.46812	47.70595	54.31468	62.11195	72.2115	78.37981	85.34805	105.2541	128.6083	137.7095	150.6284	176.0685					64.84885	17245
2008	"GL"	3765	258	17307	1155409	.3114691	.013098	.434491	20.03402	23.74397	28.0498	35.9408	39.4553	42.63151	48.9543	55.68139	63.91454	74.12709	80.45429	87.04533	108.0369	132.9737	142.1223	156.4728	183.1023					66.75964	17307
2009	"GL"	3994	257	17463	1163747	.3073713	.0121639	.436297	19.10248	23.5788	28.14709	36.17103	39.58822	42.89037	49.28757	56.01913	64.33663	74.39169	80.42009	87.53612	109.043	134.9429	144.465	158.5566	181.444					66.64075	17463
2010	"GL"	4124	254	17515	1193834	.3216959	.012801	.4509683	19.40996	23.74088	28.06595	36.04258	39.59816	42.82246	49.27529	56.06305	64.16273	74.50412	80.91488	88.02036	110.1704	136.5414	146.4755	161.1996	184.7334					68.16066	17515
1987.5	"GR"			67860	2984714	.3356696	.0081786	.3356696	10.73549	14.36495	17.03622	21.92319	24.27674	26.47585	31.03115	35.84964	41.32579	47.98183	52.07046	56.9262	72.57313	92.22042	99.67402	112.0166	133.7754	182.8102				43.9834	67860
1989.5	"GR"			67372	3222859	.3349986	.0103455	.3349986	11.40491	15.99429	18.89727	24.28991	26.62883	28.97169	33.5765	38.7188	44.72421	51.90587	56.29278	61.56477	78.62909	100.7671	110.1108	123.791	147.0113					47.83678	67372
1991.5	"GR"			70624	3739735	.3408961	.0127011	.3408961	12.9515	17.18326	20.77238	26.69456	29.38212	31.83983	36.9418	42.4806	49.01866	57.00385	61.85567	67.60078	86.99096	112.422	122.4859	138.3671	164.5762					52.95274	70624
1993.5	"GR"			73171	4321005	.3375434	.0154296	.3375434	15.68362	19.17375	23.15698	30.02553	32.73562	35.73965	41.43292	47.7608	55.35943	64.4109	70.0904	76.61968	98.24429	125.0056	135.5887	150.7761	179.0695					59.05351	73171
1995.5	"GR"	20487	2481	75230	4642179	.3322242	.0123802	.4751531	15.86224	20.32536	24.39471	31.51693	34.78609	37.73151	43.82204	50.61713	58.3108	67.75692	73.40282	80.30311	102.1944	129.0145	139.3196	154.5672	181.7248					61.70649	75230
1997.5	"GR"	24194	4640	73827	4574546	.3262076	.0110282	.4925162	16.07157	20.68404	24.68226	31.83824	35.30488	38.22322	44.52935	51.43732	59.19904	68.5567	74.342	81.21468	102.188	128.1364	138.0338	152.3118	177.6158					61.96305	73827
1999.5	"GR"	25080	8813	72719	4395683	.3195489	.0101228	.4940467	16.06359	20.6346	24.43322	31.57354	34.89876	37.81197	44.02055	50.69392	58.09669	66.93555	72.4483	78.85776	98.95889	123.2196	132.8471	146.3775	171.453					60.44751	72719
2001	"GR"	25867	2465	80207	5221013	.3236755	.0122839	.4886026	17.45888	21.92014	26.21579	34.11092	37.43114	40.76588	47.15725	54.18707	61.96313	71.32112	76.84732	83.51984	104.808	131.3493	141.7518	157.4242	184.352					65.09423	80207
2002	"GR"	25559	2304	81537	5385866	.3247179	.0135112	.4858773	17.56865	22.09525	26.46448	34.56886	37.83699	41.1735	47.69388	54.78185	62.86249	72.61592	78.3177	85.2649	107.0721	134.5362	145.1382	162.0243	190.5635					66.05426	81537
2003	"GR"	25558	2168	81615	5450553	.3218618	.0127551	.4835803	17.74316	22.44169	27.00641	35.25904	38.5319	41.83256	48.45712	55.6255	63.6793	73.74064	79.50864	86.55638	108.4211	135.2581	145.4841	161.248	187.2465					66.78371	81615
2004	"GR"	24829	2281	82044	5505758	.3248511	.0132774	.4817034	17.76719	22.50467	27.0375	35.21136	38.43481	41.78838	48.37975	55.51582	63.71273	73.75832	79.7721	86.62282	108.6761	135.7402	146.2091	162.4993	189.2701					67.10738	82044
2005	"GR"	24763	2340	82370	5527591	.3226582	.0136466	.4792208	17.8732	22.64793	27.14163	35.23533	38.50435	41.85197	48.47668	55.77528	64.04961	74.12689	80.21973	87.09566	109.1508	136.4053	146.9715	163.6592	191.0079					67.10684	82370
2006	"GR"	29631	2383	81747	5588617	.3209258	.0136472	.5015867	19.36706	23.35506	27.74347	35.96458	39.40424	42.68163	49.46082	56.83233	65.34016	75.68649	81.48441	88.51812	111.309	139.8042	150.8247	167.655	194.6127					68.3648	81747
2007	"GR"	19057	2402	82336	5785013	.3266612	.0162536	.4532165	19.83927	23.71447	28.27486	36.58789	40.34703	43.5962	50.52594	57.8964	66.47076	76.93107	82.98849	90.40199	113.5724	142.4722	153.9145	171.5746						70.26103	82336
2008	"GR"	22634	4576	82961	5943386	.3247918	.0169232	.4695209	19.82576	24.12131	28.99878	37.51139	41.25157	44.75858	51.56925	59.01519	67.8923	78.55083	84.7907	92.36723	116.3477	145.884	158.1461	176.3406						71.64072	82961
2009	"GR"	22584	4818	83306	5974493	.3218718	.0161205	.4665015	20.03977	24.30032	29.15211	37.76649	41.48976	45.08382	51.83311	59.23284	68.22428	79.05947	85.45415	93.01333	117.1134	145.4427	156.9771	174.1744						71.71743	83306
2010	"GR"	22970	4889	85000	6179600	.3273556	.0173937	.4704568	19.87356	24.30073	29.18071	37.88308	41.59005	45.16396	52.06114	59.67815	68.68166	79.64896	86.29758	94.10068	118.8703	148.522	161.007	178.8084						72.70117	85000
1987.5	"JU"			22957	894877.7	.3082086	.0033105	.3082086	10.6406	13.72855	16.37656	20.69542	22.44378	24.47646	28.43016	32.88027	37.8143	43.41134	46.66783	50.49012	62.15523	76.33873	81.89634	95.11723	99.72308	126.4816	167.3603			38.9806	22957
1989.5	"JU"			23128	966311	.2968733	.0038049	.2968733	11.05997	15.4813	17.95673	22.67422	25.11632	26.92668	31.20304	35.87201	41.08746	47.01528	50.60958	54.53743	67.07333	81.53597	90.88096	94.74799	107.7203	136.4978	178.9924			41.781	23128
1991.5	"JU"			24388	1138770	.3062805	.0049615	.3062805	12.48785	16.59215	19.54949	25.12995	27.17544	29.54657	34.31005	39.79744	45.91399	52.73532	56.78959	61.5139	75.64544	92.65729	99.03822	108.3453	123.0924	154.4415	199.331			46.69385	24388
1993.5	"JU"			24898	1255510	.2963626	.0055828	.2963626	15.53981	17.99783	21.37653	27.27644	30.09577	32.50023	37.85295	43.57306	50.02498	57.54153	62.08478	67.35667	82.1638	99.46095	106.3284	115.7536	129.861	160.1895				50.42613	24898
1995.5	"JU"	7333	504	26585	1373573	.2894385	.0039802	.4430604	15.75384	19.27983	22.35338	28.21327	31.0409	33.56099	38.90666	45.01614	51.70993	59.75872	64.31695	69.54733	84.51916	100.7584	106.8471	115.2429	128.9899	158.6014				51.66722	26585
1997.5	"JU"	8082	567	25997	1387898	.2922435	.0049884	.4600914	15.98655	20.32601	23.16215	29.218	31.88557	34.59649	39.85427	45.99772	52.90562	61.44045	66.27937	71.62237	87.1899	105.1916	111.4791	120.2634	134.8257	169.5932				53.38683	25997
1999.5	"JU"	7681	706	21447	1104280	.2907151	.0042227	.4777522	15.90147	20.11261	22.58842	28.20127	30.95084	33.30308	38.39246	43.93537	50.76591	58.95514	63.87493	69.5288	85.20918	100.5914	106.5866	114.8461	128.4007	159.1938				51.4888	21447
2001	"JU"	9071	409	29413	1754395	.2949464	.0061584	.4611335	17.62794	21.78339	25.5245	32.48019	35.80684	38.5482	44.47928	51.43344	59.6228	68.82443	73.9111	80.02365	97.96467	116.7509	123.8597	133.8558	149.3292	186.5162				59.64692	29413
2002	"JU"	9113	394	29491	1774917	.2962676	.0061911	.4623932	17.69256	21.79509	25.50006	32.6526	35.94914	38.72027	44.77179	51.88103	60.05462	69.52639	74.76747	81.02968	99.17977	118.3773	125.6357	135.6179	151.3328	187.3632				60.18504	29491
2003	"JU"	9136	402	29651	1800156	.2974595	.0062908	.4629378	17.69101	21.86527	25.62678	32.61368	36.05575	39.12186	45.26911	52.29876	60.54488	70.14133	75.60326	81.70752	100.3597	120.9225	127.8098	137.271	152.3545	188.3317				60.71147	29651
2004	"JU"	9372	363	29641	1821214	.298578	.0067413	.467079	17.81701	22.00385	25.80908	32.99867	36.41225	39.51163	45.64051	52.68629	61.19328	71.05006	76.63094	83.06181	101.9134	122.8518	130.1986	140.3223	156.9352	192.9076				61.44239	29641
2005	"JU"	9388	351	29832	1851400	.3016618	.0068587	.4688214	18.05648	22.21424	26.04902	33.22938	36.55983	39.65398	45.88618	52.98321	61.44803	71.21249	77.07534	83.78786	103.128	124.0858	131.0901	140.7068	156.9145	193.7122				62.06088	29832
2006	"JU"	10258	391	29513	1871653	.3024002	.0074678	.4823298	20.07012	22.88718	26.63265	34.11061	37.31803	40.54465	46.7849	53.84773	62.40778	72.50643	78.38671	85.22803	104.7742	126.7389	134.4708	145.1391	163.1407					63.41792	29513
2007	"JU"	9629	428	30274	1938971	.3082762	.0088966	.4751962	18.09755	22.40454	26.38745	33.97306	37.36646	40.70145	46.91785	54.14414	62.76511	73.19143	79.26041	86.30215	106.4812	129.2161	137.4263	148.7856	168.9762					64.04739	30274
2008	"JU"	9793	412	30405	1992184	.3152482	.0091298	.4820668	18.1417	22.34925	26.30808	34.30272	37.87399	41.25899	47.63119	55.06254	63.60245	74.4601	80.68116	87.77647	108.1097	131.2308	139.9425	152.2181	171.8588					65.52159	30405
2009	"JU"	9818	408	30851	2024267	.3094303	.0089749	.4761423	17.61819	22.44992	26.5107	34.57167	38.23346	41.63931	48.14093	55.45345	64.49362	75.4218	81.84908	89.07155	110.1436	133.7932	142.3802	154.3574	172.7656					65.61431	30851
2010	"JU"	9846	563	31085	2059994	.317096	.0092839	.4813694	17.50305	22.43266	26.51978	34.54344	38.00499	41.43132	47.98323	55.31853	64.47169	75.42954	81.76151	89.35735	110.3584	133.9104	142.3378	154.317	173.4516					66.26971	31085
1987.5	"LU"			113623	5014623	.3331157	.0073225	.3331157	10.82495	15.02979	17.39888	22.27983	24.67723	26.79856	31.35056	36.1282	41.40224	47.69227	51.64242	56.40444	71.37555	96.80822	95.72752	106.4477	124.1609	171.006				44.13387	113623
1989.5	"LU"			115479	5510705	.3274666	.0090839	.3274666	11.51486	16.20157	19.43752	24.79851	27.00455	29.40714	34.14007	39.14806	45.04145	51.77659	55.95833	61.02769	77.33681	97.46903	105.2905	116.598	138.7117	191.1204				47.72041	115479
1991.5	"LU"			122201	6398197	.3257458	.0104254	.3257458	13.23062	17.44749	21.18538	27.29271	30.19562	32.56682	37.68452	43.13225	49.39561	56.94683	61.55685	67.10669	84.66218	106.1705	114.6323	127.4936	149.0913					52.35798	122201
1993.5	"LU"			125923	7372439	.3239689	.0128571	.3239689	15.76347	19.39522	23.82006	30.8662	33.76399	36.6822	42.376	48.39532	55.4053	63.95287	69.23219	75.56302	95.09797	118.6734	128.255	141.7725	166.1995					58.5472	125923
1995.5	"LU"	22546	1546	131545	7883572	.3255994	.0116879	.4242751	15.88588	20.21835	24.07191	31.3272	34.51188	37.41685	43.27918	49.5907	56.69587	65.41172	70.85139	77.27165	97.43186	121.8463	131.6936	145.5724	171.1278					59.93061	131545
1997.5	"LU"	28686	2443	131006	7896628	.3183268	.0100819	.440778	16.14565	20.83335	24.7461	31.94359	35.30986	38.06849	43.91653	50.31861	57.45177	66.1974	71.53384	77.85825	97.64468	121.153	130.5555	143.7621	166.6056					60.27684	131006
