steuerperiode	kanton	null_norm	null_sond	cpop	cinc	G_reink	ppop0	G_reink0	p1	p5	p10	p20	p25	p30	p40	p50	p60	p70	p75	p80	p90	p95	p96	p97	p98	p99	p9950	p9990	p9999	mean	sum_pflichtige
1999.5	"AI"	1396	169	5202	334493.6	.3697429	.0140952	.5030922	16.26772	21.03449	24.87035	31.54095	34.61072	37.21375	42.95829	49.22871	56.24845	65.0424	70.30447	75.93168	95.41125	122.5321	134.9137	153.3775	188.7473					64.30096	5202
2001	"AI"	1620	49	6151	432668.1	.3720657	.0177583	.5029695	17.23292	21.47129	25.60344	33.90762	37.47398	40.94834	47.4197	54.40462	62.40379	72.04032	77.24268	83.785	105.8614	135.2688	147.1003	170.6818						70.34109	6151
2002	"AI"	1443	45	6242	442802.2	.3818514	.0169161	.4979201	17.3221	21.58247	25.67564	33.7602	37.22503	40.64361	46.82823	53.6847	61.68435	70.82999	75.95605	82.91908	105.7204	135.7891	147.3033	168.0901						70.93916	6242
2003	"AI"	1412	58	6324	435536.1	.3609424	.0164168	.4775853	17.5409	21.82043	25.77337	33.53554	37.22998	40.79591	47.18402	53.91672	62.17107	71.66892	77.39857	84.05645	106.7916	136.3013	148.124	167.7368						68.87035	6324
2004	"AI"	1440	91	6419	441865.1	.3551343	.0175595	.4732927	17.75214	22.10586	26.15985	34.06834	37.66319	41.1094	47.46346	54.29102	62.25396	72.25281	77.59975	84.53461	107.6379	137.9886	149.7374	171.2216						68.83706	6419
2005	"AI"	1477	80	6531	463538.6	.3712893	.020979	.487249	17.70344	21.97859	25.99091	34.24463	37.67188	41.00563	47.35763	54.26612	62.96899	73.01447	78.72276	85.82984	109.8263	142.6435	157.7588	184.0748						70.97514	6531
2006	"AI"	1556	79	6521	465826	.3618888	.021295	.4848182	19.4928	22.69507	26.68714	35.39835	38.67645	41.82969	48.24232	55.58425	63.97601	74.16702	80.73026	88.09662	111.5744	145.5903	161.8424	187.2656						71.43475	6521
2007	"AI"	1570	93	6715	501187.2	.3758098	.0226916	.4940933	19.60827	22.88924	27.0368	35.65983	39.19189	42.54409	49.40213	56.93812	65.90618	76.37548	82.67697	89.6106	114.0638	148.56	166.2885	192.8983						74.63696	6715
2008	"AI"	1626	98	6778	499624.5	.3554102	.0217753	.480125	19.53665	23.24084	27.51518	36.16351	40.16704	43.29958	50.29445	58.17274	67.63007	78.286	84.39116	92.20235	117.5692	152.6967	168.3416	190.8996						73.71268	6778
2009	"AI"	1675	106	6858	512951.9	.3611818	.0198055	.4865797	20.13068	23.56735	27.81858	36.34344	39.82848	43.3681	50.33857	58.52326	67.86559	79.06106	85.96815	93.37123	119.1168	153.5353	166.8599	185.759						74.79613	6858
2010	"AI"	1727	104	6872	503023.4	.3446391	.0193046	.47626	19.17774	23.32378	27.85487	36.61827	40.28531	43.40459	50.6796	58.86688	68.18365	79.10162	86.69653	95.19229	120.4708	153.4807	166.4385	184.7713						73.19898	6872
1987.5	"AR"			20098	926039.7	.3353564	.010399	.3353564	11.78296	16.22382	18.99779	23.29916	25.55358	27.53894	31.99578	36.85885	42.42122	49.24291	53.35317	58.29011	73.8595	94.22993	103.3012	118.6537	145.7013					46.07621	20098
1989.5	"AR"			19778	986001.8	.3525105	.0125392	.3525105	11.30899	15.9353	18.97846	24.44449	26.79226	29.22091	34.00915	39.4516	45.59419	53.2815	57.7498	63.11266	79.8093	103.3348	114.991	132.1719	160.5282					49.85346	19778
1991.5	"AR"			20320	1114931	.3467876	.0139272	.3467876	13.30778	17.44949	21.1895	27.31807	30.20984	32.61435	38.0283	43.8818	50.59541	58.78587	63.78286	69.59061	87.5301	113.9713	125.0663	141.5042	169.6356					54.86866	20320
1993.5	"AR"			21037	1289211	.3400365	.0170176	.3400365	15.85648	20.10784	24.43266	31.17934	34.26003	37.15749	43.00808	49.58096	57.04095	65.93517	71.14089	77.15811	97.18941	123.4762	134.5303	150.4626	184.3613					61.28302	21037
1995.5	"AR"	4260	410	20667	1310831	.3401066	.0146829	.4528817	16.10455	20.87452	25.19935	32.17372	35.42631	38.35697	44.64074	51.28289	58.9964	68.20202	73.74578	80.38139	101.0786	128.6241	139.9758	157.4453	189.1847					63.42627	20667
1997.5	"AR"	5521	480	20125	1302838	.3359121	.0143102	.4788751	16.52754	21.69746	26.04994	33.14248	36.40531	39.54841	45.81978	52.5702	60.49952	69.60169	75.10676	81.44442	102.8057	130.5858	142.0975	160.1213	191.84					64.73728	20125
