anz_pflichtige	steuerperiode	kanton	null_norm	null_sond	cpop	cinc	G_steink	p1	p5	p10	p20	p25	p30	p40	p50	p60	p70	p75	p80	p90	p95	p99	mean
38	1987.5	"AI"			6073	205534.2	.3506711		11.04193	12.96673	16.68812	18.38636	20.31717	23.57489	26.9105	30.65421	35.4049	38.30988	41.95557	55.06657	75.56963	155.5529	33.84393
45	1989.5	"AI"			5924	230057.2	.3412925		12.18742	15.72467	20.44366	22.18522	24.21137	27.70237	31.44686	35.56172	40.30611	43.21531	47.22109	62.3045	82.93602	173.7332	38.83477
61	1991.5	"AI"			6133	267951.8	.3514563		13.62671	17.2541	22.43962	24.87622	26.83961	31.06676	35.27041	39.43968	45.00092	48.21337	52.45734	67.88195	91.79953	199.3302	43.69017
67	1993.5	"AI"			6201	298246.7	.339106		15.99184	19.24876	25.34976	27.66298	30.34491	35.28614	39.48958	44.38276	50.96957	55.19681	59.72544	76.05748	98.3445		48.09655
0	1961.5	"AR"			9937	104071	.3255357		6.041389	6.196032	6.546756	6.747283	6.968446	7.390171	7.913697	8.58208	9.522091	10.17602	11.06605	15.31021	22.25085	56.89984	10.47308
0	1963.5	"AR"			10834	131490	.3235996		6.319027	6.978146	7.416232	7.658265	7.925745	8.440391	9.066661	9.840602	10.94084	11.74144	12.83893	17.97667	26.09656	62.82477	12.13679
0	1965.5	"AR"			10037	146066	.3420982		7.456421	8.104721	8.626081	8.925845	9.20317	9.816212	10.55341	11.50412	12.89272	13.87708	15.10981	21.56881	31.22794	79.89554	14.55275
1	1967.5	"AR"			12720	191373.5	.3267502		7.641912	8.224059	8.878384	9.29445	9.640278	10.44651	11.3464	12.43011	13.8497	14.8175	16.25563	22.10761	30.89386	79.54176	15.04509
1	1969.5	"AR"			15073	248383.6	.3493963		7.687115	8.371648	9.342097	9.770259	10.29016	11.27895	12.35948	13.65988	15.38482	16.53365	18.14564	24.19676	33.71255	87.25405	16.47871
1	1971.5	"AR"			15151	301565	.3229809		10.10776	10.60269	11.65868	12.23545	12.72657	13.8597	15.15504	16.60127	18.63379	20.13509	21.83834	29.11944	40.17705	101.2456	19.90397
3	1973.5	"AR"			16079	362456.7	.3304226	9.169971	10.38446	11.20949	12.69185	13.44665	14.19428	15.58335	17.13352	18.85062	21.30181	22.822	24.80159	33.08155	46.70881	116.3213	22.54224
7	1975.5	"AR"			17454	467141.6	.347066	9.485798	11.04668	12.19299	14.23922	15.28133	16.33826	18.32175	20.40695	22.76894	25.91515	27.86639	30.56931	40.77016	56.00086	133.0586	26.76416
3	1977.5	"AR"			18965	525284.7	.3437024		10.85789	12.20775	14.52163	15.62709	16.83236	19.29236	21.74071	24.57367	28.0959	30.5575	33.45823	44.00441	58.10623	132.6596	27.69758
