Veranlagungsperiode;Einheit;stpf;snpstbetr;mean_stbetr;median_stbetr;gini_stbetr;mean_steink;median_steink;gini_steink;mean_steinka;median_steinka;gini_steinka;mean_reink;median_reink;gini_reink;mean_reinka;median_reinka;gini_reinka;p1;p5;p10;p20;p25;p30;p40;p50;p60;p70;p75;p80;p90;p95;p96;p97;p98;p99;p99_5;p99_9;p99_99;stpf_100;stpf_200;stpf_300;stpf_400;stpf_500;stpf_600;stpf_700;stpf_800;stpf_900;stpf_1000;stpf_1100;stpf_1200;stpf_1300;stpf_1400;stpf_1500;stpf_1600;stpf_1700;stpf_1800;stpf_1900;stpf_2000;stpf_u2000
2006;Total;4494082;7486.081;1666;242;0.848;54862;43000;0.485;34851;27000;0.486;60692;47900;0.469;38085;30333;0.463;0;0;2500;15600;21300;26300;35200;43000;51100;61100;67300;75000;101100;134500;148000;167600;201000;281000;399300;934300;4015000;716037;346450;454157;552224;563968;465380;355189;259886;185078;132750;96086;70039;52766;39416;30268;24582;19138;15795;13061;10489;91323
2007;Verheiratet;1690577;5804.724;3434;718;0.812;86604;66400;0.424;52906;39267;0.443;99008;79600;0.383;59591;46133;0.396;0;7300;24300;39200;44200;48800;57700;66400;76000;88000;95800;105800;142800;195300;217300;250000;305900;440000;634300;1603900;7410900;;;;;;;;;;;;;;;;;;;;;
2007;Unverheiratet;2865181;2574.902;899;156;0.842;39519;33600;0.48;26554;22133;0.486;41990;36200;0.459;28085;23933;0.463;0;0;0;8100;13600;18300;26000;33600;40500;47800;52000;57100;73500;93900;101700;112900;132000;177800;248300;591600;2597700;;;;;;;;;;;;;;;;;;;;;
2007;Total;4555758;8379.627;1839;266;0.851;56992;44000;0.491;36333;27667;0.493;63149;49100;0.474;39776;31133;0.469;0;0;2600;16000;21800;26900;36100;44000;52300;62600;69000;77000;104300;139700;153800;175000;211600;298500;428800;1038300;4708600;718527;338742;444967;540375;565094;472313;365741;268860;194904;141290;102934;75342;57149;42630;33257;26641;21084;17412;14151;11477;102868
2008;Verheiratet;1683906;5852.794;3476;661;0.823;85946;64500;0.436;52613;38267;0.455;102347;81900;0.382;61712;47500;0.394;0;6700;22900;37600;42600;47200;55900;64500;74200;86400;94400;104800;143300;198800;221900;256500;316100;453500;650600;1620700;7383200;;;;;;;;;;;;;;;;;;;;;
2008;Unverheiratet;2933884;2795.083;953;165;0.84;40699;34600;0.48;27338;22733;0.486;43209;37300;0.459;28892;24556;0.463;0;0;0;8500;14200;18900;26800;34600;41600;49100;53400;58600;75700;96900;105000;116800;136900;184400;255900;603800;2449400;;;;;;;;;;;;;;;;;;;;;
2008;Total;4617790;8647.878;1873;268;0.853;57198;44100;0.492;36555;27778;0.495;64774;50100;0.474;40860;31867;0.469;0;0;2800;16100;22000;27100;36200;44100;52300;62300;68600;76500;104100;140500;155300;177300;215500;306000;440400;1052200;4682800;725202;341054;448271;547964;578500;491048;374764;271216;193124;138683;101607;74294;56021;42925;33154;26728;21454;17421;14375;11970;108015
2009;Verheiratet;1692263;5861.794;3464;697;0.814;86438;65600;0.431;53154;39048;0.451;102810;82900;0.379;62268;48278;0.391;0;6500;23000;38100;43200;47900;56800;65600;75500;88000;96200;106700;145100;199000;220900;254300;310700;441300;628100;1555600;7045500;;;;;;;;;;;;;;;;;;;;;
2009;Unverheiratet;2989560;2826.208;945;167;0.835;40806;34900;0.479;27412;22933;0.486;43324;37500;0.459;28971;24733;0.463;0;0;0;8200;13900;18800;27000;34900;42000;49600;54000;59300;76700;97800;105600;117200;136600;181700;250000;586700;2339600;;;;;;;;;;;;;;;;;;;;;
2009;Total;4681823;8688.003;1856;278;0.848;57300;44500;0.49;36717;28067;0.494;64825;50400;0.473;41006;32133;0.469;0;0;2400;15900;22000;27200;36400;44500;52900;63000;69500;77500;105400;141400;155700;177000;213400;300000;426400;1008500;4487400;746500;338234;446276;542268;578691;493632;380606;279071;200289;145636;106908;78367;59813;45364;35244;28628;22337;18324;15009;12563;108063
2010;Verheiratet / mariés;1700550;6067.944;3568;721;0.813;87587;66300;0.433;53788;39467;0.452;104013;83700;0.381;62932;48750;0.393;0;6300;22900;38500;43600;48400;57400;66300;76400;89200;97500;108200;147700;202800;225800;260000;317800;452700;647500;1600000;7018300;;;;;;;;;;;;;;;;;;;;;
2010;Unverheiratet / non-mariés;3044322;2956.254;971;168;0.837;41121;34900;0.482;27607;23000;0.488;43646;37600;0.461;29170;24800;0.465;0;0;0;8300;13900;18800;26900;34900;42100;49800;54200;59600;77200;98900;106900;118800;138600;185300;256100;595000;2448900;;;;;;;;;;;;;;;;;;;;;
2010;Total;4744872;9024.198;1902;282;0.848;57774;44600;0.493;36990;28200;0.496;65281;50500;0.476;41270;32200;0.471;0;0;2400;15800;21800;27100;36500;44600;53100;63400;70000;78100;106600;143400;158100;180000;217600;305300;436900;1031500;4488400;759538;345064;448665;541549;580820;496481;385373;282639;204260;149268;109905;81036;61859;47245;36541;29496;23533;18870;15970;13069;113691
1995_1996;Verheiratet;1667052;4215.675;2529;737;0.757;68873;57000;0.389;43262;34190;0.414;78075;67200;0.354;48329;39476;0.373;0;0;20300;34600;38900;42800;50000;57000;64700;74200;80200;87900;114700;150600;165500;187900;226000;312900;431400;964000;3598300;;;;;;;;;;;;;;;;;;;;;
1995_1996;Unverheiratet;2414009;1748.11;724;152;0.8;33424;30000;0.461;23510;20533;0.47;35015;31700;0.448;24566;21800;0.454;0;0;0;5800;13200;17500;24000;30000;35700;41800;45300;49500;62500;77900;83600;92000;105400;137400;187100;420000;1537100;;;;;;;;;;;;;;;;;;;;;
1995_1996;Total;4081061;5963.785;1461;329;0.804;47904;39700;0.461;31578;25600;0.466;52604;43700;0.45;34273;28444;0.446;0;0;0;15700;20900;25300;32800;39700;46800;55300;60500;67000;88500;114900;125000;140100;166100;228100;316700;690200;2452400;672853;301258;492524;589585;553216;428247;303470;207832;140443;95714;66871;47021;34379;24795;18950;14836;11525;9344;7633;6398;54167
1995;Verheiratet;38338;121.576;3171;911;0.756;81991;65600;0.367;50588;39867;0.386;91994;76100;0.333;56156;45200;0.346;0;19100;31300;43400;47800;51500;58400;65600;74000;84200;91100;100000;132100;175200;193300;219300;262600;372500;513800;1264900;;;;;;;;;;;;;;;;;;;;;;
1995;Unverheiratet;76296;71.77;941;213;0.795;40380;35200;0.423;26818;23267;0.423;42453;37400;0.404;28156;24722;0.403;0;0;4200;15000;18700;21700;28900;35200;41400;48300;52300;57100;71600;89700;96700;107200;123200;162900;224700;553900;;;;;;;;;;;;;;;;;;;;;;
1995;Total;114634;193.346;1687;393;0.803;54296;44500;0.436;34767;28200;0.435;59021;48400;0.423;37520;30952;0.417;0;0;9300;20300;24600;29400;37100;44500;52100;60800;66200;73100;96400;125900;137900;155500;184600;250200;358200;811000;3748600;12194;10274;12687;15245;15305;13528;10057;6972;4711;3222;2274;1676;1186;874;701;536;426;322;279;248;1917
1996;Verheiratet;38791;115.726;2983;738;0.785;81517;64500;0.381;50495;39133;0.401;92369;75500;0.342;56517;44900;0.357;0;16500;29600;41700;46200;50200;57200;64500;73000;83600;90200;98900;130900;175100;192400;220900;266200;377900;544900;1354100;;;;;;;;;;;;;;;;;;;;;;
1996;Unverheiratet;78155;67.647;866;169;0.818;39456;34100;0.444;26188;22533;0.444;41608;36400;0.423;27579;24056;0.422;0;0;1500;13100;16900;20400;27200;34100;40500;47700;51700;56700;71400;89100;95800;105100;121600;161500;226400;551400;;;;;;;;;;;;;;;;;;;;;;
