Veranlagungsperiode;Einheit;stpf;snpstbetr;mean_stbetr;median_stbetr;gini_stbetr;mean_steink;median_steink;gini_steink;mean_steinka;median_steinka;gini_steinka;mean_reink;median_reink;gini_reink;mean_reinka;median_reinka;gini_reinka;p1;p5;p10;p20;p25;p30;p40;p50;p60;p70;p75;p80;p90;p95;p96;p97;p98;p99;p99_5;p99_9;p99_99;stpf_100;stpf_200;stpf_300;stpf_400;stpf_500;stpf_600;stpf_700;stpf_800;stpf_900;stpf_1000;stpf_1100;stpf_1200;stpf_1300;stpf_1400;stpf_1500;stpf_1600;stpf_1700;stpf_1800;stpf_1900;stpf_2000;stpf_u2000
2001;Total;2833096;5752.711;2031;464;0.798;65220;50300;0.372;41162;31400;0.373;71716;56700;0.365;44751;34933;0.355;11000;19800;24400;32200;35300;38300;44100;50300;57600;66700;72500;79800;105200;139100;152700;173100;208400;291600;414200;1013900;4319500;25664;120596;321966;461565;468222;381749;286283;203304;141848;98207;70022;50116;36470;27353;21108;16895;13075;10606;8822;7152;62073
2002;Verheiratet;1246153;3889.633;3121;817;0.769;85648;66900;0.35;51573;39476;0.371;97725;79700;0.316;58039;45810;0.328;12000;31900;36800;45100;48800;52400;59500;66900;75300;86000;92900;101700;134200;179100;197800;224900;271900;383300;538700;1291400;5637000;;;;;;;;;;;;;;;;;;;;;
2002;Unverheiratet;1613306;1741.76;1080;316;0.754;49294;41600;0.316;32973;27467;0.32;51531;44000;0.306;34364;28867;0.307;12300;18200;21200;26800;29600;32000;36900;41600;46700;52800;56600;61200;77100;96800;104400;115500;134800;180400;250000;584100;2427300;;;;;;;;;;;;;;;;;;;;;
2002;Total;2859459;5631.394;1969;479;0.787;65137;50900;0.364;41079;31750;0.365;71662;57200;0.358;44682;35267;0.348;12200;20000;24800;32600;35700;38700;44600;50900;58200;67400;73300;80600;106100;139500;152700;172600;206400;286100;405700;957700;3890500;23218;118834;316213;459467;470017;386919;291143;209774;146215;103369;73105;52534;38164;28738;21999;17250;13492;11047;9056;7319;61586
2003;Verheiratet;1526403;4725.659;3096;821;0.766;85291;67000;0.352;51398;39542;0.372;97036;79500;0.32;57684;45792;0.331;6100;31200;36300;44700;48500;52200;59500;67000;75500;86400;93400;102400;135100;179600;197800;224600;270700;376100;528900;1251500;5500000;;;;;;;;;;;;;;;;;;;;;
2003;Unverheiratet;1950775;2132.656;1093;310;0.76;49234;41400;0.321;32929;27267;0.326;51466;43700;0.312;34313;28667;0.313;8300;18000;21000;26600;29300;31800;36600;41400;46500;52700;56500;61100;76900;96600;104100;115200;134200;179400;248100;583000;2528100;;;;;;;;;;;;;;;;;;;;;
2003;Total;3477178;6858.315;1972;477;0.787;65063;50800;0.368;41037;31667;0.369;71470;56900;0.362;44572;35200;0.352;7200;19500;24300;32300;35400;38400;44400;50800;58200;67500;73400;80900;106800;140300;153600;173200;206400;284700;399600;924900;3882000;44890;143736;385973;556738;562139;462812;352229;252510;177824;125788;89406;64838;47832;35336;27280;21616;17164;13728;11262;9110;74967
2004;Verheiratet;1524103;4860.084;3189;852;0.764;86392;67500;0.36;52165;39905;0.379;98292;80200;0.327;58560;46267;0.337;5100;30400;35900;44700;48600;52400;59900;67500;76300;87400;94600;103800;137400;183500;202400;230900;278800;388100;544400;1303000;6489600;;;;;;;;;;;;;;;;;;;;;
2004;Unverheiratet;1980885;2187.288;1104;316;0.759;49624;41600;0.325;33234;27333;0.33;51937;44000;0.315;34667;28867;0.316;7700;18000;21000;26600;29400;31900;36800;41600;46800;52900;56800;61500;77600;97700;105500;117000;136400;182800;253000;596500;2950300;;;;;;;;;;;;;;;;;;;;;
2004;Total;3504988;7047.372;2011;484;0.786;65612;50900;0.374;41466;31800;0.375;72094;57000;0.367;45057;35333;0.358;6100;19200;24000;32200;35300;38400;44400;50900;58400;67900;74000;81600;108000;142400;156000;176300;210900;292600;409100;961900;4747100;52941;147877;386326;553913;561089;462168;351749;253307;180458;128256;91731;66277;49366;36615;28359;22381;17597;14132;11812;9459;79175
2005;Verheiratet;1537438;5182.171;3371;877;0.77;87673;68100;0.365;53022;40267;0.384;98831;80000;0.334;58996;46267;0.344;5100;30300;36000;44800;48800;52700;60300;68100;77000;88300;95700;105200;139800;188000;207700;237300;287800;403600;570700;1369700;5800300;;;;;;;;;;;;;;;;;;;;;
2005;Unverheiratet;2007229;2342.465;1167;323;0.766;50141;41800;0.328;33638;27600;0.333;52235;44000;0.319;34938;28933;0.321;7400;18000;21000;26700;29400;32000;36900;41800;47100;53300;57200;62000;78600;99500;107500;119500;139800;189000;261700;615400;2635700;;;;;;;;;;;;;;;;;;;;;
2005;Total;3544667;7524.635;2123;495;0.792;66420;51200;0.378;42046;32067;0.379;72445;56900;0.372;45373;35333;0.363;6000;19200;24000;32200;35400;38500;44600;51200;58900;68500;74700;82400;109600;145100;159400;180400;216800;301800;426200;996800;4190700;55010;147365;390398;551903;562400;463292;354644;258026;183921;131084;94803;68877;51432;38173;29169;23488;18450;15069;12281;10045;84837
2006;Verheiratet;1521913;5211.851;3425;793;0.789;90294;68900;0.374;54915;40933;0.393;102245;81700;0.341;61344;47389;0.352;5100;31600;36800;45400;49500;53300;60900;68900;78000;89600;97300;107100;143500;195000;216500;248800;303100;430000;611000;1504900;6908700;;;;;;;;;;;;;;;;;;;;;
2006;Unverheiratet;2003883;2274.23;1135;290;0.773;51129;42500;0.327;34361;28000;0.333;53431;44900;0.318;35798;29533;0.32;7700;18800;21700;27300;30100;32700;37600;42500;47800;54200;58100;63100;80000;101600;110000;122500;144200;195400;273100;634600;2700200;;;;;;;;;;;;;;;;;;;;;
2006;Total;3525796;7486.081;2123;449;0.806;68034;51800;0.383;43233;32533;0.384;74501;58100;0.375;46825;36111;0.367;6100;19800;24600;33000;36100;39200;45200;51800;59600;69400;75600;83600;111700;149200;164200;186600;225600;317500;451700;1066900;4795600;53779;125940;369352;551929;563814;465276;355138;259861;185064;132730;96075;70029;52762;39414;30267;24579;19135;15795;13060;10489;91308
2007;Verheiratet;1534736;5804.724;3782;848;0.793;94081;70600;0.385;57494;42000;0.405;106670;84100;0.351;64307;48810;0.363;5200;31700;37300;46300;50500;54600;62400;70600;80000;92100;100000;110300;149000;204200;227700;262400;321700;462300;668300;1702300;7956400;;;;;;;;;;;;;;;;;;;;;
2007;Unverheiratet;2067740;2574.902;1245;311;0.782;52643;43300;0.336;35420;28533;0.343;55188;45900;0.325;37007;30133;0.329;7600;18800;21800;27700;30500;33200;38300;43300;48700;55300;59400;64600;82400;105500;114600;127900;151000;207200;291600;709200;3299100;;;;;;;;;;;;;;;;;;;;;
2007;Total;3602476;8379.627;2326;477;0.811;70297;52800;0.393;44824;33143;0.395;77121;59300;0.384;48638;36917;0.377;6200;19900;24800;33300;36600;39800;46000;52800;60700;70800;77400;85700;115000;154600;170800;195200;237300;336900;486200;1196400;5624800;55344;128156;366656;539909;564820;472159;365651;268789;194865;141264;102920;75329;57142;42625;33250;26638;21077;17408;14145;11476;102853
2008;Verheiratet;1510820;5852.794;3874;805;0.802;94272;69300;0.394;57734;41333;0.415;110971;87000;0.349;67024;50600;0.361;5400;31600;36800;45500;49600;53500;61100;69300;78800;91100;99400;110000;150500;209500;234400;271100;334300;481100;688900;1745300;7938400;;;;;;;;;;;;;;;;;;;;;
2008;Unverheiratet;2128937;2795.083;1313;335;0.779;53980;44300;0.337;36307;29200;0.345;56573;47000;0.327;37921;30857;0.331;8200;19000;22200;28300;31200;34000;39200;44300;49900;56600;60900;66300;84800;108800;118300;132200;156300;213700;301800;721000;3012600;;;;;;;;;;;;;;;;;;;;;
2008;Total;3639757;8647.878;2376;480;0.814;70705;52900;0.393;45201;33278;0.397;79153;60600;0.385;50001;37867;0.378;6700;20000;25100;33600;36900;40000;46200;52900;60600;70500;77000;85300;115200;156400;173200;198900;242900;347100;499500;1205600;5480100;52525;123474;361842;547389;578216;490904;374649;271161;193082;138651;101587;74273;56007;42921;33150;26724;21451;17419;14366;11968;107998
2009;Verheiratet;1521728;5861.794;3852;840;0.794;94679;70400;0.389;58245;42133;0.41;111362;88000;0.345;67554;51381;0.357;5500;31700;37100;46100;50200;54200;62000;70400;80000;92700;101000;111900;152000;208900;232800;268000;328100;465600;666100;1666300;7540200;;;;;;;;;;;;;;;;;;;;;
2009;Unverheiratet;2167335;2826.208;1304;346;0.772;54229;44700;0.335;36474;29467;0.343;56844;47400;0.324;38101;31133;0.329;8200;19100;22300;28500;31400;34300;39500;44700;50300;57300;61600;67100;85800;109400;118700;132200;155300;210200;293700;695300;3062700;;;;;;;;;;;;;;;;;;;;;
2009;Total;3689063;8688.003;2355;496;0.807;70915;53400;0.389;45455;33667;0.394;79333;61100;0.382;50251;38267;0.376;6800;20100;25300;33800;37200;40300;46600;53400;61300;71400;78100;86500;116600;156700;173100;197700;239700;338100;481600;1150700;5159700;52706;123076;363711;541744;578447;493484;380517;279000;200241;145612;106885;78355;59803;45357;35238;28624;22334;18322;15006;12562;108039
2010;Verheiratet / mariés;1530116;6067.944;3966;872;0.792;95939;71100;0.39;58938;42600;0.411;112698;88900;0.346;68285;51867;0.358;5700;31800;37400;46500;50700;54700;62700;71100;81000;93900;102500;113600;154700;213'300;237'900;274'000;334'900;477'700;684'400;1'694'900;7'633'500;;;;;;;;;;;;;;;;;;;;;
2010;Unverheiratet / non-mariés;2206812;2956.254;1340;351;0.775;54665;44900;0.338;36743;29600;0.345;57294;47600;0.327;38376;31267;0.331;8500;19100;22300;28500;31500;34400;39700;44900;50500;57600;62000;67500;86600;110'700;120'100;134'000;157'900;214'700;300'000;718'000;3'000'000;;;;;;;;;;;;;;;;;;;;;
2010;Total;3736928;9024.198;2415;504;0.807;71565;53700;0.392;45831;33833;0.396;79979;61300;0.385;50623;38400;0.378;7000;20100;25200;33900;37300;40500;46800;53700;61700;72000;78700;87300;118100;159'300;176'100;200'800;244'400;344'700;494'100;1'193'900;5'326'600;52308;126494;367592;541089;580613;496359;385289;282590;204222;149241;109881;81025;61850;47241;36534;29493;23531;18869;15969;13067;113671
1973_1974;Verheiratet;1457470;1320.337;906;144;0.827;29192;20700;0.398;17562;12167;0.42;35248;27100;0.34;21012;15615;0.359;1000;10600;11900;14200;15300;16300;18400;20700;23500;27100;29600;32800;46000;66700;75900;90000;114000;168500;246000;600000;1884600;;;;;;;;;;;;;;;;;;;;;
1973_1974;Unverheiratet;575185;113.106;197;84;0.667;18149;16000;0.241;13158;11200;0.266;19302;17200;0.235;13969;12000;0.259;0;10100;10800;12200;12800;13400;14700;16000;17400;19100;20200;21500;26000;31600;33800;37000;42200;55000;76600;171000;540000;;;;;;;;;;;;;;;;;;;;;
